# ECG I-Ref,ECG II-Ref,ECG III-Ref,ECG AVR-Ref,ECG AVL-Ref,ECG AVF-Ref,ECG V1-Ref,ECG V2-Ref,ECG V3-Ref,ECG V4-Ref,ECG V5-Ref,ECG V6-Ref
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000076e-05,2.000000000000000164e-05,-1.000000000000000082e-05,-2.500000000000000120e-05,2.000000000000000164e-05,5.000000000000000409e-06,-1.500000000000000038e-05,-2.000000000000000164e-05,-3.500000000000000371e-05,-2.500000000000000120e-05,-1.500000000000000038e-05,-1.500000000000000038e-05
6.000000000000000152e-05,4.000000000000000327e-05,-2.000000000000000164e-05,-5.000000000000000240e-05,4.000000000000000327e-05,1.000000000000000082e-05,-3.000000000000000076e-05,-4.000000000000000327e-05,-7.000000000000000742e-05,-5.000000000000000240e-05,-3.000000000000000076e-05,-3.000000000000000076e-05
6.000000000000000152e-05,3.000000000000000076e-05,-3.000000000000000076e-05,-4.499999999999999606e-05,4.499999999999999606e-05,0.000000000000000000e+00,-2.000000000000000164e-05,-2.500000000000000120e-05,-5.000000000000000240e-05,-5.500000000000000196e-05,-2.500000000000000120e-05,-3.500000000000000371e-05
6.000000000000000152e-05,2.000000000000000164e-05,-4.000000000000000327e-05,-4.000000000000000327e-05,5.000000000000000240e-05,-1.000000000000000082e-05,-1.000000000000000082e-05,-1.000000000000000082e-05,-3.000000000000000076e-05,-6.000000000000000152e-05,-2.000000000000000164e-05,-4.000000000000000327e-05
6.000000000000000152e-05,3.000000000000000076e-05,-3.000000000000000076e-05,-4.499999999999999606e-05,4.499999999999999606e-05,0.000000000000000000e+00,5.000000000000000409e-06,5.000000000000000409e-06,-1.000000000000000082e-05,-5.000000000000000240e-05,0.000000000000000000e+00,-2.500000000000000120e-05
6.000000000000000152e-05,4.000000000000000327e-05,-2.000000000000000164e-05,-5.000000000000000240e-05,4.000000000000000327e-05,1.000000000000000082e-05,2.000000000000000164e-05,2.000000000000000164e-05,1.000000000000000082e-05,-4.000000000000000327e-05,2.000000000000000164e-05,-1.000000000000000082e-05
4.499999999999999606e-05,2.000000000000000164e-05,-2.500000000000000120e-05,-3.500000000000000371e-05,4.000000000000000327e-05,-5.000000000000000409e-06,2.500000000000000120e-05,2.500000000000000120e-05,1.000000000000000082e-05,-1.000000000000000082e-05,3.500000000000000371e-05,5.000000000000000409e-06
3.000000000000000076e-05,0.000000000000000000e+00,-3.000000000000000076e-05,-2.000000000000000164e-05,4.000000000000000327e-05,-2.000000000000000164e-05,3.000000000000000076e-05,3.000000000000000076e-05,1.000000000000000082e-05,2.000000000000000164e-05,5.000000000000000240e-05,2.000000000000000164e-05
4.000000000000000327e-05,0.000000000000000000e+00,-4.000000000000000327e-05,-2.000000000000000164e-05,4.000000000000000327e-05,-2.000000000000000164e-05,1.500000000000000038e-05,5.000000000000000409e-06,-1.000000000000000082e-05,0.000000000000000000e+00,2.000000000000000164e-05,5.000000000000000409e-06
